,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
0,"The rule, as far as human rights are concerned, is 
that every nation which does not enjoy pluralistic democracy is 
violating human rights and is therefore oppressive.","The rule, as far as human rights are concerned, is 
that every nation which does not enjoy pluralistic democracy is 
violating human rights and is therefore oppressive",sentiment,medium,negative,,,
1,"As for her wording regarding acquisition of weapons, what is 
particularly noteworthy is the use of the words ""aggressively 
seeking"" nuclear, biological or chemical weapons.","aggressively 
seeking"" nuclear, biological or chemical weapons",arguing,medium-high,positive,,,
2,"As for her wording regarding acquisition of weapons, what is 
particularly noteworthy is the use of the words ""aggressively 
seeking"" nuclear, biological or chemical weapons.","aggressively 
seeking"" nuclear, biological or chemical weapons",sentiment,medium-high,negative,,,
3,"Kong made the remark when asked to comment on the different 
views given by the New York Times and the Washington Post 
recentlyon a statement by the U.S. leader describing the 
Democratic People's Republic of Korea, Iran and Iraq as the 
""axis of evil"" nations.",views,arguing,low,positive,,,
4,China Disapproves Use of 'Axis of Evil' in International Relations,Use of 'Axis of Evil',sentiment,high,negative,,,
5,"Chinese Foreign Ministry spokesman Kong Quan said Friday that 
China disapproves of the use of such words as the ""axis of evil"" 
in international relations.","the use of such words as the ""axis of evil",sentiment,high,negative,,,
6,Bush's objective is clear.,objective,intention,low-medium,positive,X,,
7,The world has heated up a notch.,The world has heated up a notch,sentiment,medium,negative,,,
8,"Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an ""evil"" it likely will readjust its stance.",stance,arguing,low-medium,positive,,,
9,"Basically, he is telling the world the enemies of America is not just al-Qa'ida or Usama Bin Ladin.",the enemies of America is not just al-Qa'ida or Usama Bin Ladin,sentiment,medium-high,negative,,,
10,The circumstance has led Bush to again adopt an aggressive policy.,adopt an aggressive policy,sentiment,medium,negative,,,
11,"Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons.",deliberate used the term,other_attitude,low-medium,,,,
12,The fact that he subsequently denied these speculations does not mean they are baseless.,speculations,speculation,low,,,,
13,"He added: ""We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes.""",are prepared to initiate a dialogue,intention,low-medium,positive,,,
14,"""I believe the comments on the 'axis of evil' reflect the firm resolve of President Bush and the United States against terrorism.",firm resolve,intention,medium-high,positive,,,
15,"North Korea remains unconvinced, calling Bush the head of ""an empire of evil."" Its state media said last week that Bush ""is the most bellicose and heinous"" US president, and added his visit was only intended to ""fan up war hysteria"".",remains unconvinced,arguing,low-medium,negative,,,
16,"""People who love freedom understand that we cannot allow nations that aren't transparent, nations with a terrible history, nations that are so dictatorial they're willing to starve their people, we can't allow them to mate up with terrorist organizations,"" Bush said.",willing to starve their people,sentiment,high,negative,,,
17,"German Foreign Minister Joschka Fischer last week sharply criticised Bush's ""axis of evil"" remarks, telling a newspaper that such a concept ""gets us nowhere.""","axis of evil"" remarks",sentiment,high,negative,,,
18,"The president renewed his pledge to thwart terrorist groups who want to ""mate up"" with regimes hoping to acquire weapons of mass destruction and said ""nations will come with us"" if the US-led war on terrorism is extended.",hoping to acquire weapons of mass destruction,sentiment,high,negative,,,
19,"At the start of his Asian tour, Bush dismissed a chilly reception by US allies to his ""axis of evil"" rhetoric, telling reporters in Tokyo, ""I will keep all options on the table.","axis of evil"" rhetoric",sentiment,high,negative,,,
20,"The president renewed his pledge to thwart terrorist groups who want to ""mate up"" with regimes hoping to acquire weapons of mass destruction and said ""nations will come with us"" if the US-led war on terrorism is extended.","want to ""mate up"" with regimes hoping to acquire weapons of mass destruction",sentiment,high,negative,,,
21,"At the start of his Asian tour, Bush dismissed a chilly reception by US allies to his ""axis of evil"" rhetoric, telling reporters in Tokyo, ""I will keep all options on the table.",I will keep all options on the table,other_attitude,medium,,,X,
22,"Washington alleges that Tehran has allowed al-Qa'ida fighters and members of the Taliban regime to enter Iran, which Iranian officials have hotly denied but said they would act if provided with evidence.",would act if provided with evidence,intention,low-medium,positive,,,
23,South Korean ministers fear Bush's tough talking may put back by years Kim's so-called Sunshine Policy of establishing a permanent peace.,tough talking,sentiment,low-medium,negative,,,
24,It would be a choice that confirms the extremist inclinations of some members of the US Administration.,extremist inclinations,sentiment,high,positive,,,
25,It would be a choice that confirms the extremist inclinations of some members of the US Administration.,extremist inclinations,sentiment,high,negative,,,
26,"Perhaps improvisation is a better indication of the inclinations and personal convictions of the President, because by improvising he is expressing what runs through his mind since the tongue is an extension of the heart.",inclinations and personal convictions,arguing,medium,positive,,,
27,"On the other hand, written speeches are more indicative of the policy drafted by the decision-making circles for a final decision by the President.",decision,other_attitude,low,,,,
28,Ivashev further said the United States is after gaining superiority over Russia's nuclear capabilities and initiating an anti-missile defense system by the United States shows that country's intentions.,intentions,intention,low,positive,,,
29,"'Willing to kill themselves, others': ""There are among these 
prisoners people who are perfectly willing to kill themselves 
and kill other people,"" Rumsfeld added.",Willing to kill themselves,sentiment,high-extreme,negative,,,
30,"'Willing to kill themselves, others': ""There are among these 
prisoners people who are perfectly willing to kill themselves 
and kill other people,"" Rumsfeld added.",willing to kill themselves,sentiment,high-extreme,negative,,,
31,"The suffering of these particular prisoners is, indeed, 
particularly great.",suffering,sentiment,high,negative,,,
32,"They enjoy their own large cell, 
talking freely with one another, worshiping with a prayer 
leader, and writing home.",worshiping,sentiment,medium-high,positive,,,
33,Stretching The Case For Inhumanity,Stretching The Case For Inhumanity,sentiment,medium,negative,,,
34,"By way of contrast, the men and women of our military who have 
the extremely dangerous job of guarding these thugs live in 
12-person tents, take cold showers using a hose, and often must 
cope without the benefits of electricity.","By way of contrast, the men and women of our military who have 
the extremely dangerous job of guarding these thugs live in 
12-person tents, take cold showers using a hose, and often must 
cope without the benefits of electricity",sentiment,low-medium,negative,,,
35,``I wish I had more time.'',wish I had more time,sentiment,low-medium,negative,,,
36,"But after several days of four- and five-hour shifts inside the 
camp, hearing the prisoners' requests, he said exchanges have 
not dipped that deeply into the doctrinal.",requests,sentiment,low,positive,,,
37,Are they POWs?,Are they POWs,other_attitude,low,,,,
38,"Still, things could be worse.","Still, things could be worse",sentiment,low,positive,,,
39,"""Walk! Walk!"" the guards shout.",Walk! Walk!,other_attitude,medium,,,,
40,"He says that with the start of the Muslim month of pilgrimage, 
during which the faithful journey to the holy city of Mecca, he 
detects more anxiety in the camp.",anxiety,sentiment,medium-high,negative,,,
41,"The prisoners are here because the military considers them 
""hard-core"" terrorists - willing to escape, to kill themselves 
and others.","willing to escape, to kill themselves 
and others",sentiment,high-extreme,negative,,,
42,"Except for an occasional spitting incident or threat, officials 
say, the prisoners are docile.",spitting incident or threat,sentiment,high,negative,,,
43,"The story got international play because it seemed to underscore 
the fact that tensions between the Americans and the detainees 
were easing.",tensions,sentiment,medium,negative,,,
44,"Wearing bright orange wool knit caps, blacked-out goggles, 
earmuffs, white surgical masks, bright orange jumpsuits, denim 
jackets, beige mittens (taped around the wrists), handcuffs and 
ankle shackles, the detainees don't look natural.","Wearing bright orange wool knit caps, blacked-out goggles, 
earmuffs, white surgical masks, bright orange jumpsuits, denim 
jackets, beige mittens (taped around the wrists), handcuffs and 
ankle shackles, the detainees don't look natural",sentiment,low-medium,negative,,,
45,"""They haven't said that God has abandoned them, because they 
know,"" he says.",know,other_attitude,low,,,,
46,"Defense Secretary Donald Rumsfeld denied the allegations, 
insisting that the detainees have it better here than in 
Afghanistan.",allegations,arguing,low-medium,positive,,,
47,"""Man, they must be so scared,"" says a TV camerawoman watching 
with an international media pool from about 400 yards away.",be so scared,sentiment,medium-high,negative,,,
48,"Spanish Foreign 
Minister Josep Pique said the Spanish government ""does not have 
the slightest doubt regarding the position of the U.S. 
government.""",the position of,other_attitude,low,,,,
49,"""Keeping prisoners incommunicado, sensory deprivation, the use 
of unnecessary restraint and the humiliation of people through 
tactics such as shaving them are all classic techniques employed 
to break the spirit of individuals ahead of interrogation,"" the 
organization said.",humiliation of,sentiment,high,negative,,,
50,"And yet, officials at Guantanamo have said that no interrogation 
has taken place on the base and that the prisoners do not have 
lawyers.","And yet, officials at Guantanamo have said that no interrogation 
has taken place on the base and that the prisoners do not have 
lawyers",sentiment,low-medium,negative,,,
51,"""They're in legal limbo,"" said Michael F. Noone, professor of 
military law at Catholic University.",They're in legal limbo,sentiment,medium,negative,,,
52,"The warden at Camp X-Ray, Col. Terry Carrico, said he was 
determined at all times to maintain what he called ""positive 
control"" over the prisoners.","positive 
control",other_attitude,low,,,,
